"name","handedness","height","weight","avg","HR","weight_bucket","height_bucket","avg_bucket","dexterity"
"Terry Harmon","R",74,180,0.233,4,"(162,185]","(71,74]","(0.216,0.272]",1
"Mike Hargrove","L",72,195,0.29,80,"(185,208]","(71,74]","(0.272,0.328]",2
"Steve Hovley","L",70,188,0.258,8,"(185,208]","(68,71]","(0.216,0.272]",2
"Don Leppert","R",74,220,0.229,15,"(208,230]","(71,74]","(0.216,0.272]",1
"Lee May","R",75,195,0.267,354,"(185,208]","(74,77]","(0.216,0.272]",1
"Sam McDowell","L",77,190,0.154,2,"(185,208]","(74,77]","(0.104,0.16]",2
"Rick Renick","R",72,188,0.221,20,"(185,208]","(71,74]","(0.216,0.272]",1
"Jeff Torborg","R",72,195,0.214,8,"(185,208]","(71,74]","(0.16,0.216]",1
"Dave Campbell","R",73,180,0.213,20,"(162,185]","(71,74]","(0.16,0.216]",1
"Pat Kelly","L",73,185,0.264,76,"(162,185]","(71,74]","(0.216,0.272]",2
"Al Weis","B",72,160,0.219,7,"(140,162]","(71,74]","(0.216,0.272]",3
"Jerry Turner","L",69,180,0.257,45,"(162,185]","(68,71]","(0.216,0.272]",2
"Rick Auerbach","R",72,165,0.22,9,"(162,185]","(71,74]","(0.216,0.272]",1
"Don Wilson","R",74,195,0.146,1,"(185,208]","(71,74]","(0.104,0.16]",1
"Sandy Valdespino","L",68,170,0.23,7,"(162,185]","(65,68]","(0.216,0.272]",2
"Ken Phelps","L",73,209,0.239,123,"(208,230]","(71,74]","(0.216,0.272]",2
"Cesar Cedeno","R",74,175,0.285,199,"(162,185]","(71,74]","(0.272,0.328]",1
"Phil Linz","R",73,180,0.235,11,"(162,185]","(71,74]","(0.216,0.272]",1
"Manny Mota","R",70,160,0.304,31,"(140,162]","(68,71]","(0.272,0.328]",1
"Steve Renko","R",77,230,0.215,6,"(208,230]","(74,77]","(0.16,0.216]",1
"Rick Sofield","L",73,195,0.243,9,"(185,208]","(71,74]","(0.216,0.272]",2
"Doug DeCinces","R",74,190,0.259,237,"(185,208]","(71,74]","(0.216,0.272]",1
"John Castino","R",71,175,0.278,41,"(162,185]","(68,71]","(0.272,0.328]",1
"Dave May","L",70,186,0.251,96,"(185,208]","(68,71]","(0.216,0.272]",2
"Ron Washington","R",71,155,0.261,20,"(140,162]","(68,71]","(0.216,0.272]",1
"Billy Grabarkewitz","R",70,165,0.236,28,"(162,185]","(68,71]","(0.216,0.272]",1
"Willie Aikens","L",75,220,0.271,110,"(208,230]","(74,77]","(0.216,0.272]",2
"Earl Williams","R",75,215,0.247,138,"(208,230]","(74,77]","(0.216,0.272]",1
"Don Hahn","R",73,180,0.236,7,"(162,185]","(71,74]","(0.216,0.272]",1
"Todd Cruz","R",72,175,0.22,34,"(162,185]","(71,74]","(0.216,0.272]",1
"Tom Egan","R",76,218,0.2,22,"(208,230]","(74,77]","(0.16,0.216]",1
"Bob Heise","R",72,175,0.247,1,"(162,185]","(71,74]","(0.216,0.272]",1
"Tommy Harper","R",69,165,0.257,146,"(162,185]","(68,71]","(0.216,0.272]",1
"Joe Wallis","B",71,180,0.244,16,"(162,185]","(68,71]","(0.216,0.272]",3
"Max Alvis","R",71,185,0.247,111,"(162,185]","(68,71]","(0.216,0.272]",1
"Rico Carty","R",75,200,0.299,204,"(185,208]","(74,77]","(0.272,0.328]",1
"Mike Cubbage","L",72,180,0.258,34,"(162,185]","(71,74]","(0.216,0.272]",2
"Merritt Ranew","L",71,170,0.247,8,"(162,185]","(68,71]","(0.216,0.272]",2
"Lyman Bostock","L",73,180,0.311,23,"(162,185]","(71,74]","(0.272,0.328]",2
"Damaso Garcia","R",73,165,0.283,36,"(162,185]","(71,74]","(0.272,0.328]",1
"Roy Howell","L",73,190,0.261,80,"(185,208]","(71,74]","(0.216,0.272]",2
"Boog Powell","L",76,230,0.266,339,"(208,230]","(74,77]","(0.216,0.272]",2
"Sonny Siebert","R",75,190,0.173,12,"(185,208]","(74,77]","(0.16,0.216]",1
"Bobby Darwin","R",74,190,0.251,83,"(185,208]","(71,74]","(0.216,0.272]",1
"Dan Driessen","L",71,187,0.267,153,"(185,208]","(68,71]","(0.216,0.272]",2
"Bruce Miller","R",73,185,0.246,1,"(162,185]","(71,74]","(0.216,0.272]",1
"Bob Bailor","R",71,170,0.264,9,"(162,185]","(68,71]","(0.216,0.272]",1
"Tommy Helms","R",70,165,0.269,34,"(162,185]","(68,71]","(0.216,0.272]",1
"Tony Armas","R",71,182,0.252,251,"(162,185]","(68,71]","(0.216,0.272]",1
"Willie Horton","R",71,209,0.273,325,"(208,230]","(68,71]","(0.272,0.328]",1
"Lou Piniella","R",72,182,0.291,102,"(162,185]","(71,74]","(0.272,0.328]",1
"Butch Hobson","R",73,193,0.248,98,"(185,208]","(71,74]","(0.216,0.272]",1
"John Wathan","R",74,205,0.262,21,"(185,208]","(71,74]","(0.216,0.272]",1
"Hal King","L",73,200,0.214,24,"(185,208]","(71,74]","(0.16,0.216]",2
"Mike Krukow","R",77,205,0.193,5,"(185,208]","(74,77]","(0.16,0.216]",1
"Andres Mora","R",72,180,0.223,27,"(162,185]","(71,74]","(0.216,0.272]",1
"Barry Foote","R",75,205,0.23,57,"(185,208]","(74,77]","(0.216,0.272]",1
"Ed Ott","L",70,190,0.259,33,"(185,208]","(68,71]","(0.216,0.272]",2
"Alan Wiggins","B",74,160,0.259,5,"(140,162]","(71,74]","(0.216,0.272]",3
"Ron Clark","R",70,175,0.189,5,"(162,185]","(68,71]","(0.16,0.216]",1
"Julio Gotay","R",72,180,0.26,6,"(162,185]","(71,74]","(0.216,0.272]",1
"Gary Alexander","R",74,195,0.23,55,"(185,208]","(71,74]","(0.216,0.272]",1
"Andre Thornton","R",75,200,0.254,253,"(185,208]","(74,77]","(0.216,0.272]",1
"Bob Oliver","R",75,205,0.256,94,"(185,208]","(74,77]","(0.216,0.272]",1
"Bob Robertson","R",73,195,0.242,115,"(185,208]","(71,74]","(0.216,0.272]",1
"Ollie Brown","R",74,178,0.265,102,"(162,185]","(71,74]","(0.216,0.272]",1
"Frank Quilici","R",73,170,0.214,5,"(162,185]","(71,74]","(0.16,0.216]",1
"Joe Pepitone","L",74,185,0.258,219,"(162,185]","(71,74]","(0.216,0.272]",2
"Steve Barber","L",72,195,0.115,5,"(185,208]","(71,74]","(0.104,0.16]",2
"Norm Miller","L",70,185,0.238,24,"(162,185]","(68,71]","(0.216,0.272]",2
"Bob Chance","L",74,196,0.261,24,"(185,208]","(71,74]","(0.216,0.272]",2
"Julio Cruz","B",69,165,0.237,23,"(162,185]","(68,71]","(0.216,0.272]",3
"Bill Sample","R",69,175,0.272,46,"(162,185]","(68,71]","(0.216,0.272]",1
"Craig Kusick","R",75,210,0.235,46,"(208,230]","(74,77]","(0.216,0.272]",1
"Rudy Meoli","L",69,165,0.212,2,"(162,185]","(68,71]","(0.16,0.216]",2
"Ruppert Jones","L",70,170,0.25,147,"(162,185]","(68,71]","(0.216,0.272]",2
"Glenn Hoffman","R",73,175,0.242,23,"(162,185]","(71,74]","(0.216,0.272]",1
"Russ Gibson","R",73,195,0.228,8,"(185,208]","(71,74]","(0.216,0.272]",1
"Terry Francona","L",73,190,0.274,16,"(185,208]","(71,74]","(0.272,0.328]",2
"John Bateman","R",75,210,0.23,81,"(208,230]","(74,77]","(0.216,0.272]",1
"Luis Pujols","R",74,175,0.193,6,"(162,185]","(71,74]","(0.16,0.216]",1
"Joe Gaines","R",73,190,0.241,21,"(185,208]","(71,74]","(0.216,0.272]",1
"Doug Rader","R",74,208,0.251,155,"(208,230]","(71,74]","(0.216,0.272]",1
"Mickey Stanley","R",73,185,0.248,117,"(162,185]","(71,74]","(0.216,0.272]",1
"Phil Bradley","R",72,185,0.286,78,"(162,185]","(71,74]","(0.272,0.328]",1
"Winston Llenas","R",70,165,0.23,3,"(162,185]","(68,71]","(0.216,0.272]",1
"Charlie Moore","R",71,180,0.261,36,"(162,185]","(68,71]","(0.216,0.272]",1
"Ralph Garr","L",71,185,0.306,75,"(162,185]","(68,71]","(0.272,0.328]",2
"Tommy John","R",75,180,0.157,5,"(162,185]","(74,77]","(0.104,0.16]",1
"Bruce Benedict","R",73,175,0.242,18,"(162,185]","(71,74]","(0.216,0.272]",1
"John Ellis","R",74,225,0.262,69,"(208,230]","(71,74]","(0.216,0.272]",1
"Wes Parker","B",73,180,0.267,64,"(162,185]","(71,74]","(0.216,0.272]",3
"David Green","R",75,170,0.268,31,"(162,185]","(74,77]","(0.216,0.272]",1
"Reid Nichols","R",71,165,0.266,22,"(162,185]","(68,71]","(0.216,0.272]",1
"Rick Reichardt","R",75,210,0.261,116,"(208,230]","(74,77]","(0.216,0.272]",1
"Luis Tiant","R",72,180,0.164,5,"(162,185]","(71,74]","(0.16,0.216]",1
"Broderick Perkins","L",70,180,0.271,8,"(162,185]","(68,71]","(0.216,0.272]",2
"Leon Roberts","R",75,200,0.267,78,"(185,208]","(74,77]","(0.216,0.272]",1
"Ray Burris","R",77,200,0.151,1,"(185,208]","(74,77]","(0.104,0.16]",1
"Len Gabrielson","L",76,210,0.253,37,"(208,230]","(74,77]","(0.216,0.272]",2
"Johnny Edwards","L",76,220,0.242,81,"(208,230]","(74,77]","(0.216,0.272]",2
"Tom Grieve","R",74,190,0.249,65,"(185,208]","(71,74]","(0.216,0.272]",1
"Bob Forsch","R",76,200,0.213,12,"(185,208]","(74,77]","(0.16,0.216]",1
"Danny Cater","R",72,170,0.276,66,"(162,185]","(71,74]","(0.272,0.328]",1
"Bill Schroeder","R",74,200,0.24,61,"(185,208]","(71,74]","(0.216,0.272]",1
"Clay Dalrymple","L",72,190,0.233,55,"(185,208]","(71,74]","(0.216,0.272]",2
"Carlos May","L",71,200,0.274,90,"(185,208]","(68,71]","(0.272,0.328]",2
"Reggie Smith","B",72,180,0.287,314,"(162,185]","(71,74]","(0.272,0.328]",3
"Davey Johnson","R",73,170,0.261,136,"(162,185]","(71,74]","(0.216,0.272]",1
"Ellis Valentine","R",76,205,0.278,123,"(185,208]","(74,77]","(0.272,0.328]",1
"Roy White","B",70,160,0.271,160,"(140,162]","(68,71]","(0.216,0.272]",3
"Mike Brumley","L",70,195,0.229,5,"(185,208]","(68,71]","(0.216,0.272]",2
"Al Luplow","L",70,175,0.235,33,"(162,185]","(68,71]","(0.216,0.272]",2
"Dick Allen","R",71,187,0.292,351,"(185,208]","(68,71]","(0.272,0.328]",1
"Doug Ault","R",75,200,0.236,17,"(185,208]","(74,77]","(0.216,0.272]",1
"Mark Wagner","R",72,165,0.243,3,"(162,185]","(71,74]","(0.216,0.272]",1
"Willie Stargell","L",74,188,0.282,475,"(185,208]","(71,74]","(0.272,0.328]",2
"Steve Carlton","L",76,210,0.201,13,"(208,230]","(74,77]","(0.16,0.216]",2
"Jake Wood","R",73,163,0.25,35,"(162,185]","(71,74]","(0.216,0.272]",1
"Del Unser","L",73,180,0.258,87,"(162,185]","(71,74]","(0.216,0.272]",2
"Bob Brower","R",71,185,0.242,17,"(162,185]","(68,71]","(0.216,0.272]",1
"Ray Culp","R",72,200,0.123,1,"(185,208]","(71,74]","(0.104,0.16]",1
"Ivan Murrell","R",74,195,0.236,33,"(185,208]","(71,74]","(0.216,0.272]",1
"Lee Mazzilli","B",73,180,0.259,93,"(162,185]","(71,74]","(0.216,0.272]",3
"Garth Iorg","R",71,170,0.258,20,"(162,185]","(68,71]","(0.216,0.272]",1
"Alan Ashby","B",74,185,0.245,90,"(162,185]","(71,74]","(0.216,0.272]",3
"Bob Brenly","R",74,210,0.247,91,"(208,230]","(71,74]","(0.216,0.272]",1
"Ron Blomberg","L",73,195,0.293,52,"(185,208]","(71,74]","(0.272,0.328]",2
"Jim Rooker","R",72,195,0.201,7,"(185,208]","(71,74]","(0.16,0.216]",1
"Tim Blackwell","B",71,170,0.228,6,"(162,185]","(68,71]","(0.216,0.272]",3
"Jerry Morales","R",70,155,0.259,95,"(140,162]","(68,71]","(0.216,0.272]",1
"Davey Lopes","R",69,170,0.263,155,"(162,185]","(68,71]","(0.216,0.272]",1
"Catfish Hunter","R",72,190,0.226,6,"(185,208]","(71,74]","(0.216,0.272]",1
"Mario Soto","R",72,174,0.132,1,"(162,185]","(71,74]","(0.104,0.16]",1
"Jimmy Wynn","R",70,160,0.25,291,"(140,162]","(68,71]","(0.216,0.272]",1
"Hank Allen","R",72,190,0.241,6,"(185,208]","(71,74]","(0.216,0.272]",1
"Jim Fregosi","R",73,190,0.265,151,"(185,208]","(71,74]","(0.216,0.272]",1
"Pepe Frias","R",70,159,0.24,1,"(140,162]","(68,71]","(0.216,0.272]",1
"Mike Schmidt","R",74,195,0.267,548,"(185,208]","(71,74]","(0.216,0.272]",1
"Willie Montanez","L",72,170,0.275,139,"(162,185]","(71,74]","(0.272,0.328]",2
"Rey Quinones","R",71,160,0.243,29,"(140,162]","(68,71]","(0.216,0.272]",1
"Mike Squires","L",71,185,0.26,6,"(162,185]","(68,71]","(0.216,0.272]",2
"Champ Summers","L",74,205,0.255,54,"(185,208]","(71,74]","(0.216,0.272]",2
"Bert Campaneris","R",70,160,0.259,79,"(140,162]","(68,71]","(0.216,0.272]",1
"Bobby Valentine","R",70,189,0.26,12,"(185,208]","(68,71]","(0.216,0.272]",1
"Rob Andrews","R",72,185,0.251,3,"(162,185]","(71,74]","(0.216,0.272]",1
"Tom Haller","L",76,195,0.257,134,"(185,208]","(74,77]","(0.216,0.272]",2
"Ed Stroud","L",71,180,0.237,14,"(162,185]","(68,71]","(0.216,0.272]",2
"Ron Swoboda","R",74,195,0.242,73,"(185,208]","(71,74]","(0.216,0.272]",1
"Harry Spilman","L",73,180,0.237,18,"(162,185]","(71,74]","(0.216,0.272]",2
"Bob Barton","R",72,175,0.226,9,"(162,185]","(71,74]","(0.216,0.272]",1
"Daryl Sconiers","L",74,185,0.265,15,"(162,185]","(71,74]","(0.216,0.272]",2
"Joe Torre","R",74,212,0.297,252,"(208,230]","(71,74]","(0.272,0.328]",1
"Al Ferrara","R",73,200,0.259,51,"(185,208]","(71,74]","(0.216,0.272]",1
"Sixto Lezcano","R",70,165,0.271,148,"(162,185]","(68,71]","(0.216,0.272]",1
"Dave Nicholson","R",74,215,0.212,61,"(208,230]","(71,74]","(0.16,0.216]",1
"Freddie Patek","R",65,148,0.242,41,"(140,162]","(65,68]","(0.216,0.272]",1
"Ken Hubbs","R",74,175,0.247,14,"(162,185]","(71,74]","(0.216,0.272]",1
"Pepe Mangual","R",70,157,0.242,16,"(140,162]","(68,71]","(0.216,0.272]",1
"Leron Lee","L",72,196,0.25,31,"(185,208]","(71,74]","(0.216,0.272]",2
"Steve Ontiveros","B",72,185,0.274,24,"(162,185]","(71,74]","(0.272,0.328]",3
"Willie Davis","L",74,180,0.279,182,"(162,185]","(71,74]","(0.272,0.328]",2
"Tom Lawless","R",71,170,0.207,2,"(162,185]","(68,71]","(0.16,0.216]",1
"Jerry Moses","R",75,210,0.251,25,"(208,230]","(74,77]","(0.216,0.272]",1
"Bobby Bonds","R",73,190,0.268,332,"(185,208]","(71,74]","(0.216,0.272]",1
"Dave McNally","R",71,185,0.133,9,"(162,185]","(68,71]","(0.104,0.16]",1
"Darrell Brown","B",72,184,0.274,1,"(162,185]","(71,74]","(0.272,0.328]",3
"Roy Foster","R",72,185,0.253,45,"(162,185]","(71,74]","(0.216,0.272]",1
"Denis Menke","R",72,185,0.25,101,"(162,185]","(71,74]","(0.216,0.272]",1
"Hal Breeden","R",74,200,0.243,21,"(185,208]","(71,74]","(0.216,0.272]",1
"Manny Trillo","R",73,150,0.263,61,"(140,162]","(71,74]","(0.216,0.272]",1
"Jackie Gutierrez","R",71,175,0.237,4,"(162,185]","(68,71]","(0.216,0.272]",1
"Jerry Kenney","L",73,170,0.237,7,"(162,185]","(71,74]","(0.216,0.272]",2
"Fred Kendall","R",73,185,0.234,31,"(162,185]","(71,74]","(0.216,0.272]",1
"Mike Anderson","R",74,200,0.246,28,"(185,208]","(71,74]","(0.216,0.272]",1
"Joe Charboneau","R",74,205,0.266,29,"(185,208]","(71,74]","(0.216,0.272]",1
"Jimmie Schaffer","R",69,170,0.223,11,"(162,185]","(68,71]","(0.216,0.272]",1
"Junior Kennedy","R",71,175,0.248,4,"(162,185]","(68,71]","(0.216,0.272]",1
"Wilbur Howard","B",74,170,0.25,6,"(162,185]","(71,74]","(0.216,0.272]",3
"Rod Gilbreath","R",74,180,0.248,14,"(162,185]","(71,74]","(0.216,0.272]",1
"Mark Brouhard","R",73,210,0.259,25,"(208,230]","(71,74]","(0.216,0.272]",1
"Mike Young","B",74,195,0.247,72,"(185,208]","(71,74]","(0.216,0.272]",3
"Chris Speier","R",73,175,0.246,112,"(162,185]","(71,74]","(0.216,0.272]",1
"Gene Michael","B",74,183,0.229,15,"(162,185]","(71,74]","(0.216,0.272]",3
"Vic Harris","B",71,165,0.217,13,"(162,185]","(68,71]","(0.216,0.272]",3
"Mike Fischlin","R",73,165,0.22,3,"(162,185]","(71,74]","(0.216,0.272]",1
"Don Money","R",73,170,0.261,176,"(162,185]","(71,74]","(0.216,0.272]",1
"Joe Rudi","R",74,200,0.264,179,"(185,208]","(71,74]","(0.216,0.272]",1
"Jim Rice","R",74,200,0.298,382,"(185,208]","(71,74]","(0.272,0.328]",1
"Gil Garrido","R",69,150,0.237,1,"(140,162]","(68,71]","(0.216,0.272]",1
"Marty Perez","R",71,160,0.246,22,"(140,162]","(68,71]","(0.216,0.272]",1
"Tom Matchick","L",73,173,0.215,4,"(162,185]","(71,74]","(0.16,0.216]",2
"Jack Perconte","L",70,160,0.27,2,"(140,162]","(68,71]","(0.216,0.272]",2
"Ed Kirkpatrick","L",71,195,0.238,85,"(185,208]","(68,71]","(0.216,0.272]",2
"Jerry Grote","R",70,185,0.252,39,"(162,185]","(68,71]","(0.216,0.272]",1
"Ellie Hendricks","L",73,175,0.22,62,"(162,185]","(71,74]","(0.216,0.272]",2
"Jim Beauchamp","R",74,190,0.231,14,"(185,208]","(71,74]","(0.216,0.272]",1
"Tito Fuentes","B",71,175,0.268,45,"(162,185]","(68,71]","(0.216,0.272]",3
"Ron Brand","R",67,167,0.239,3,"(162,185]","(65,68]","(0.216,0.272]",1
"Leo Cardenas","R",71,150,0.257,118,"(140,162]","(68,71]","(0.216,0.272]",1
"Art Shamsky","L",73,168,0.253,68,"(162,185]","(71,74]","(0.216,0.272]",2
"Ron Cey","R",70,185,0.261,316,"(162,185]","(68,71]","(0.216,0.272]",1
"Skip Jutze","R",71,190,0.215,3,"(185,208]","(68,71]","(0.16,0.216]",1
"Butch Wynegar","B",73,190,0.255,65,"(185,208]","(71,74]","(0.216,0.272]",3
"Ron LeFlore","R",72,200,0.288,59,"(185,208]","(71,74]","(0.272,0.328]",1
"Bill Russell","R",72,175,0.263,46,"(162,185]","(71,74]","(0.216,0.272]",1
"Gene Tenace","R",72,190,0.241,201,"(185,208]","(71,74]","(0.216,0.272]",1
"Bubba Morton","R",70,175,0.267,14,"(162,185]","(68,71]","(0.216,0.272]",1
"Ellie Rodriguez","R",71,185,0.245,16,"(162,185]","(68,71]","(0.216,0.272]",1
"Darrel Chaney","B",74,188,0.217,14,"(185,208]","(71,74]","(0.216,0.272]",3
"Dick Nen","L",74,200,0.224,21,"(185,208]","(71,74]","(0.216,0.272]",2
"Bill Freehan","R",75,203,0.262,200,"(185,208]","(74,77]","(0.216,0.272]",1
"Steve Nicosia","R",70,185,0.248,11,"(162,185]","(68,71]","(0.216,0.272]",1
"Ted Savage","R",73,185,0.233,34,"(162,185]","(71,74]","(0.216,0.272]",1
"Pete Mackanin","R",74,190,0.226,30,"(185,208]","(71,74]","(0.216,0.272]",1
"Rich Dauer","R",72,180,0.257,43,"(162,185]","(71,74]","(0.216,0.272]",1
"Rowland Office","L",72,170,0.259,32,"(162,185]","(71,74]","(0.216,0.272]",2
"Rick Leach","L",73,180,0.268,18,"(162,185]","(71,74]","(0.216,0.272]",2
"Dwayne Murphy","L",73,185,0.246,166,"(162,185]","(71,74]","(0.216,0.272]",2
"Larry Harlow","L",74,185,0.248,12,"(162,185]","(71,74]","(0.216,0.272]",2
"Mike Epstein","L",75,230,0.244,130,"(208,230]","(74,77]","(0.216,0.272]",2
"Jerry Mumphrey","B",74,185,0.289,70,"(162,185]","(71,74]","(0.272,0.328]",3
"Glenn Beckert","R",73,190,0.283,22,"(185,208]","(71,74]","(0.272,0.328]",1
"Ron Davis","R",72,175,0.233,10,"(162,185]","(71,74]","(0.216,0.272]",1
"Mike Shannon","R",75,195,0.255,68,"(185,208]","(74,77]","(0.216,0.272]",1
"Jason Thompson","L",76,200,0.261,208,"(185,208]","(74,77]","(0.216,0.272]",2
"Wayne Tolleson","B",69,160,0.241,9,"(140,162]","(68,71]","(0.216,0.272]",3
"Mike Jorgensen","L",72,195,0.243,95,"(185,208]","(71,74]","(0.216,0.272]",2
"Ed Romero","R",71,160,0.247,8,"(140,162]","(68,71]","(0.216,0.272]",1
"Rick Joseph","R",73,192,0.243,13,"(185,208]","(71,74]","(0.216,0.272]",1
"Cecil Cooper","L",74,165,0.298,241,"(162,185]","(71,74]","(0.272,0.328]",2
"Bill Almon","R",75,180,0.254,36,"(162,185]","(74,77]","(0.216,0.272]",1
"Joe Ferguson","R",74,200,0.24,122,"(185,208]","(71,74]","(0.216,0.272]",1
"Jerry Terrell","R",71,165,0.253,4,"(162,185]","(68,71]","(0.216,0.272]",1
"Dave Revering","L",76,210,0.265,62,"(208,230]","(74,77]","(0.216,0.272]",2
"Curt Ford","L",70,150,0.245,7,"(140,162]","(68,71]","(0.216,0.272]",2
"Jerry Dybzinski","R",74,180,0.234,3,"(162,185]","(71,74]","(0.216,0.272]",1
"Bob Burda","L",71,174,0.224,13,"(162,185]","(68,71]","(0.216,0.272]",2
"Jesse Gonder","L",70,180,0.251,26,"(162,185]","(68,71]","(0.216,0.272]",2
"Gary Sutherland","R",72,185,0.243,24,"(162,185]","(71,74]","(0.216,0.272]",1
"Bob Coluccio","R",71,183,0.22,26,"(162,185]","(68,71]","(0.216,0.272]",1
"Dave Rader","L",71,165,0.257,30,"(162,185]","(68,71]","(0.216,0.272]",2
"Ron Gardenhire","R",72,175,0.232,4,"(162,185]","(71,74]","(0.216,0.272]",1
"Bill Sharp","L",70,178,0.255,9,"(162,185]","(68,71]","(0.216,0.272]",2
"Alan Bannister","R",71,170,0.27,19,"(162,185]","(68,71]","(0.216,0.272]",1
"Bob Watson","R",72,201,0.295,184,"(185,208]","(71,74]","(0.272,0.328]",1
"Ken Harrelson","R",74,190,0.239,131,"(185,208]","(71,74]","(0.216,0.272]",1
"Bobby Wine","R",73,187,0.215,30,"(185,208]","(71,74]","(0.16,0.216]",1
"John Kennedy","R",72,185,0.225,32,"(162,185]","(71,74]","(0.216,0.272]",1
"Chico Ruiz","B",72,169,0.24,2,"(162,185]","(71,74]","(0.216,0.272]",3
"Gail Hopkins","L",70,198,0.266,25,"(185,208]","(68,71]","(0.216,0.272]",2
"Doug Frobel","L",76,196,0.201,20,"(185,208]","(74,77]","(0.16,0.216]",2
"Luis Melendez","R",72,165,0.248,9,"(162,185]","(71,74]","(0.216,0.272]",1
"Bill Plummer","R",73,190,0.188,14,"(185,208]","(71,74]","(0.16,0.216]",1
"Buck Rodgers","B",74,190,0.232,31,"(185,208]","(71,74]","(0.216,0.272]",3
"Phil Niekro","R",73,180,0.169,7,"(162,185]","(71,74]","(0.16,0.216]",1
"Tom Poquette","L",70,175,0.268,10,"(162,185]","(68,71]","(0.216,0.272]",2
"Brian Asselstine","L",73,175,0.254,12,"(162,185]","(71,74]","(0.216,0.272]",2
"Rick Miller","L",72,175,0.269,28,"(162,185]","(71,74]","(0.216,0.272]",2
"Ed Charles","R",70,170,0.263,86,"(162,185]","(68,71]","(0.216,0.272]",1
"Floyd Rayford","R",70,190,0.244,38,"(185,208]","(68,71]","(0.216,0.272]",1
"Tony Conigliaro","R",75,185,0.264,166,"(162,185]","(74,77]","(0.216,0.272]",1
"Jim Barr","R",75,205,0.162,1,"(185,208]","(74,77]","(0.16,0.216]",1
"Jerry Remy","L",69,165,0.275,7,"(162,185]","(68,71]","(0.272,0.328]",2
"Frank Duffy","R",73,180,0.232,26,"(162,185]","(71,74]","(0.216,0.272]",1
"Tom O'Malley","L",72,180,0.256,13,"(162,185]","(71,74]","(0.216,0.272]",2
"Phil Garner","R",70,175,0.26,109,"(162,185]","(68,71]","(0.216,0.272]",1
